year,strategy,cumulative_return
2016,Winners (Q5),1.008509306336357
2017,Winners (Q5),1.289672761683239
2018,Winners (Q5),1.333383430011737
2019,Winners (Q5),1.680337757897478
2020,Winners (Q5),2.2128082651668555
2021,Winners (Q5),2.905269317791897
2022,Winners (Q5),3.124032772904745
2023,Winners (Q5),3.021441747583905
2016,Losers (Q1),1.320907553824467
2017,Losers (Q1),1.6594899456252428
2018,Losers (Q1),1.5052084863182384
2019,Losers (Q1),2.064221218152485
2020,Losers (Q1),1.5861968605705608
2021,Losers (Q1),2.452227347547112
2022,Losers (Q1),2.2837588752711575
2023,Losers (Q1),3.5118391830590903
2016,SPY,1.1199794633225673
2017,SPY,1.363075564028086
2018,SPY,1.300796619771989
2019,SPY,1.706955462364803
2020,SPY,2.019867942575936
2021,SPY,2.600151457110559
2022,SPY,2.1275641846437865
2023,SPY,2.684471023821377
